Date District Total Confirmed Asymptomatic
2022-03-19 浦东新区 135 8 127
2022-03-19 黄浦区 36 0 36
2022-03-19 静安区 15 0 15
2022-03-19 徐汇区 61 0 61
2022-03-19 长宁区 12 0 12
2022-03-19 普陀区 25 0 25
2022-03-19 虹口区 0 0 0
2022-03-19 杨浦区 14 0 14
2022-03-19 宝山区 17 1 16
2022-03-19 闵行区 53 4 49
2022-03-19 嘉定区 81 2 79
2022-03-19 金山区 3 0 3
2022-03-19 松江区 16 0 16
2022-03-19 青浦区 5 0 5
2022-03-19 奉贤区 6 0 6
2022-03-19 崇明区 23 1 22
2022-03-20 浦东新区 220 1 219
2022-03-20 黄浦区 42 2 40
2022-03-20 静安区 32 0 32
2022-03-20 徐汇区 46 1 45
2022-03-20 长宁区 13 1 12
2022-03-20 普陀区 18 0 18
2022-03-20 虹口区 12 0 12
2022-03-20 杨浦区 8 0 8
2022-03-20 宝山区 13 0 13
2022-03-20 闵行区 265 18 247
2022-03-20 嘉定区 40 1 39
2022-03-20 金山区 11 0 11
2022-03-20 松江区 9 0 9
2022-03-20 青浦区 4 0 4
2022-03-20 奉贤区 13 0 13
2022-03-20 崇明区 0 0 0
2022-03-21 浦东新区 169 6 163
2022-03-21 黄浦区 49 0 49
2022-03-21 静安区 44 0 44
2022-03-21 徐汇区 130 4 126
2022-03-21 长宁区 26 0 26
2022-03-21 普陀区 31 1 30
2022-03-21 虹口区 23 0 23
2022-03-21 杨浦区 10 0 10
2022-03-21 宝山区 67 0 67
2022-03-21 闵行区 122 10 112
2022-03-21 嘉定区 103 5 98
2022-03-21 金山区 16 1 15
2022-03-21 松江区 39 1 38
2022-03-21 青浦区 5 0 5
2022-03-21 奉贤区 22 1 21
2022-03-21 崇明区 40 2 38
2022-03-22 浦东新区 237 0 237
2022-03-22 黄浦区 59 0 59
2022-03-22 静安区 28 0 28
2022-03-22 徐汇区 87 2 85
2022-03-22 长宁区 19 0 19
2022-03-22 普陀区 21 0 21
2022-03-22 虹口区 13 0 13
2022-03-22 杨浦区 3 0 3
2022-03-22 宝山区 16 0 16
2022-03-22 闵行区 305 0 305
2022-03-22 嘉定区 111 2 109
2022-03-22 金山区 4 0 4
2022-03-22 松江区 31 0 31
2022-03-22 青浦区 20 0 20
2022-03-22 奉贤区 8 0 8
2022-03-22 崇明区 19 0 19
2022-03-23 浦东新区 218 0 218
2022-03-23 黄浦区 20 0 20
2022-03-23 静安区 48 0 48
2022-03-23 徐汇区 106 0 106
2022-03-23 长宁区 11 0 11
2022-03-23 普陀区 34 0 34
2022-03-23 虹口区 26 0 26
2022-03-23 杨浦区 11 0 11
2022-03-23 宝山区 69 0 69
2022-03-23 闵行区 256 2 254
2022-03-23 嘉定区 69 1 68
2022-03-23 金山区 5 0 5
2022-03-23 松江区 34 0 34
2022-03-23 青浦区 10 0 10
2022-03-23 奉贤区 12 1 11
2022-03-23 崇明区 54 0 54
2022-03-24 浦东新区 193 12 181
2022-03-24 黄浦区 102 0 102
2022-03-24 静安区 70 8 62
2022-03-24 徐汇区 167 2 165
2022-03-24 长宁区 59 0 59
2022-03-24 普陀区 38 2 36
2022-03-24 虹口区 29 0 29
2022-03-24 杨浦区 21 1 20
2022-03-24 宝山区 87 3 84
2022-03-24 闵行区 490 0 490
2022-03-24 嘉定区 130 1 129
2022-03-24 金山区 12 0 12
2022-03-24 松江区 92 0 92
2022-03-24 青浦区 13 0 13
2022-03-24 奉贤区 24 0 24
2022-03-24 崇明区 82 0 82
2022-03-25 浦东新区 1914 31 1883
2022-03-25 黄浦区 23 0 23
2022-03-25 静安区 2 0 2
2022-03-25 徐汇区 3 1 2
2022-03-25 长宁区 4 0 4
2022-03-25 普陀区 9 1 8
2022-03-25 虹口区 4 0 4
2022-03-25 杨浦区 11 0 11
2022-03-25 宝山区 4 0 4
2022-03-25 闵行区 206 4 202
2022-03-25 嘉定区 19 0 19
2022-03-25 金山区 1 0 1
2022-03-25 松江区 15 1 14
2022-03-25 青浦区 13 0 13
2022-03-25 奉贤区 0 0 0
2022-03-25 崇明区 41 0 41
2022-03-26 浦东新区 323 1 322
2022-03-26 黄浦区 160 0 160
2022-03-26 静安区 108 3 105
2022-03-26 徐汇区 331 5 326
2022-03-26 长宁区 29 2 27
2022-03-26 普陀区 69 1 68
2022-03-26 虹口区 50 1 49
2022-03-26 杨浦区 23 2 21
2022-03-26 宝山区 153 6 147
2022-03-26 闵行区 972 15 957
2022-03-26 嘉定区 242 9 233
2022-03-26 金山区 4 0 4
2022-03-26 松江区 79 0 79
2022-03-26 青浦区 22 0 22
2022-03-26 奉贤区 84 0 84
2022-03-26 崇明区 27 0 27
2022-03-27 浦东新区 1429 4 1425
2022-03-27 黄浦区 56 1 55
2022-03-27 静安区 70 5 65
2022-03-27 徐汇区 277 6 271
2022-03-27 长宁区 45 0 45
2022-03-27 普陀区 70 4 66
2022-03-27 虹口区 27 1 26
2022-03-27 杨浦区 35 0 35
2022-03-27 宝山区 94 5 89
2022-03-27 闵行区 619 20 599
2022-03-27 嘉定区 251 3 248
2022-03-27 金山区 13 0 13
2022-03-27 松江区 190 1 189
2022-03-27 青浦区 43 0 43
2022-03-27 奉贤区 45 0 45
2022-03-27 崇明区 236 0 236
2022-03-28 浦东新区 2506 39 2467
2022-03-28 黄浦区 283 1 282
2022-03-28 静安区 104 10 94
2022-03-28 徐汇区 91 6 85
2022-03-28 长宁区 115 7 108
2022-03-28 普陀区 81 3 78
2022-03-28 虹口区 8 4 4
2022-03-28 杨浦区 47 0 47
2022-03-28 宝山区 311 8 303
2022-03-28 闵行区 370 9 361
2022-03-28 嘉定区 209 2 207
2022-03-28 金山区 19 1 18
2022-03-28 松江区 94 4 90
2022-03-28 青浦区 57 2 55
2022-03-28 奉贤区 115 0 115
2022-03-28 崇明区 67 0 67
2022-03-29 浦东新区 2183 169 2014
2022-03-29 黄浦区 110 6 104
2022-03-29 静安区 175 8 167
2022-03-29 徐汇区 1100 34 1066
2022-03-29 长宁区 30 3 27
2022-03-29 普陀区 113 6 107
2022-03-29 虹口区 73 7 66
2022-03-29 杨浦区 99 3 96
2022-03-29 宝山区 363 33 330
2022-03-29 闵行区 988 29 959
2022-03-29 嘉定区 255 9 246
2022-03-29 金山区 26 2 24
2022-03-29 松江区 229 15 214
2022-03-29 青浦区 87 0 87
2022-03-29 奉贤区 96 1 95
2022-03-29 崇明区 55 1 54
2022-03-30 浦东新区 2207 249 1958
2022-03-30 黄浦区 361 16 345
2022-03-30 静安区 102 8 94
2022-03-30 徐汇区 404 15 389
2022-03-30 长宁区 128 8 120
2022-03-30 普陀区 146 6 140
2022-03-30 虹口区 84 1 83
2022-03-30 杨浦区 100 3 97
2022-03-30 宝山区 504 1 503
2022-03-30 闵行区 780 19 761
2022-03-30 嘉定区 158 9 149
2022-03-30 金山区 33 0 33
2022-03-30 松江区 246 8 238
2022-03-30 青浦区 77 5 72
2022-03-30 奉贤区 130 7 123
2022-03-30 崇明区 193 0 193
2022-03-31 浦东新区 2407 180 2227
2022-03-31 黄浦区 121 7 114
2022-03-31 静安区 164 4 160
2022-03-31 徐汇区 226 20 206
2022-03-31 长宁区 256 43 213
2022-03-31 普陀区 15 6 9
2022-03-31 虹口区 128 8 120
2022-03-31 杨浦区 174 5 169
2022-03-31 宝山区 17 4 13
2022-03-31 闵行区 392 59 333
2022-03-31 嘉定区 54 7 47
2022-03-31 金山区 42 3 39
2022-03-31 松江区 184 5 179
2022-03-31 青浦区 95 1 94
2022-03-31 奉贤区 183 5 178
2022-03-31 崇明区 44 1 43
2022-04-01 浦东新区 2584 79 2505
2022-04-01 黄浦区 260 5 255
2022-04-01 静安区 189 11 178
2022-04-01 徐汇区 639 37 602
2022-04-01 长宁区 37 0 37
2022-04-01 普陀区 245 13 232
2022-04-01 虹口区 61 3 58
2022-04-01 杨浦区 134 11 123
2022-04-01 宝山区 45 10 35
2022-04-01 闵行区 1043 57 986
2022-04-01 嘉定区 200 9 191
2022-04-01 金山区 49 3 46
2022-04-01 松江区 493 19 474
2022-04-01 青浦区 87 0 87
2022-04-01 奉贤区 161 2 159
2022-04-01 崇明区 84 1 83
2022-04-01 浦东新区 2584 79 2505
2022-04-01 黄浦区 260 5 255
2022-04-01 静安区 189 11 178
2022-04-01 徐汇区 639 37 602
2022-04-01 长宁区 37 0 37
2022-04-01 普陀区 245 13 232
2022-04-01 虹口区 61 3 58
2022-04-01 杨浦区 134 11 123
2022-04-01 宝山区 45 10 35
2022-04-01 闵行区 1043 57 986
2022-04-01 嘉定区 200 9 191
2022-04-01 金山区 49 3 46
2022-04-01 松江区 493 19 474
2022-04-01 青浦区 87 0 87
2022-04-01 奉贤区 161 2 159
2022-04-01 崇明区 84 1 83
2022-04-02 浦东新区 2038 108 1930
2022-04-02 黄浦区 659 27 632
2022-04-02 静安区 324 26 298
2022-04-02 徐汇区 1042 44 998
2022-04-02 长宁区 100 7 93
2022-04-02 普陀区 388 39 349
2022-04-02 虹口区 342 30 312
2022-04-02 杨浦区 274 19 255
2022-04-02 宝山区 485 35 450
2022-04-02 闵行区 829 55 774
2022-04-02 嘉定区 617 26 591
2022-04-02 金山区 60 0 60
2022-04-02 松江区 567 8 559
2022-04-02 青浦区 231 3 228
2022-04-02 奉贤区 157 8 149
2022-04-02 崇明区 113 3 110
2022-04-03 浦东新区 3654 140 3514
2022-04-03 黄浦区 824 14 810
2022-04-03 静安区 338 29 309
2022-04-03 徐汇区 499 34 465
2022-04-03 长宁区 104 14 90
2022-04-03 普陀区 321 21 300
2022-04-03 虹口区 188 11 177
2022-04-03 杨浦区 374 30 344
2022-04-03 宝山区 467 32 435
2022-04-03 闵行区 940 68 872
2022-04-03 嘉定区 415 14 401
2022-04-03 金山区 103 4 99
2022-04-03 松江区 263 6 257
2022-04-03 青浦区 232 3 229
2022-04-03 奉贤区 119 4 115
2022-04-03 崇明区 165 1 164
2022-04-04 浦东新区 7071 205 6866
2022-04-04 黄浦区 970 8 962
2022-04-04 静安区 50 1 49
2022-04-04 徐汇区 1229 8 1221
2022-04-04 长宁区 33 1 32
2022-04-04 普陀区 254 4 250
2022-04-04 虹口区 608 5 603
2022-04-04 杨浦区 220 10 210
2022-04-04 宝山区 265 1 264
2022-04-04 闵行区 1381 11 1370
2022-04-04 嘉定区 237 4 233
2022-04-04 金山区 52 1 51
2022-04-04 松江区 559 6 553
2022-04-04 青浦区 314 1 313
2022-04-04 奉贤区 64 2 62
2022-04-04 崇明区 47 0 47
2022-04-05 浦东新区 8145 162 7983
2022-04-05 黄浦区 658 16 642
2022-04-05 静安区 302 12 290
2022-04-05 徐汇区 920 23 897
2022-04-05 长宁区 84 6 78
2022-04-05 普陀区 483 7 476
2022-04-05 虹口区 410 8 402
2022-04-05 杨浦区 623 11 612
2022-04-05 宝山区 554 7 547
2022-04-05 闵行区 2937 23 2914
2022-04-05 嘉定区 481 11 470
2022-04-05 金山区 77 1 76
2022-04-05 松江区 796 14 782
2022-04-05 青浦区 384 6 378
2022-04-05 奉贤区 144 2 142
2022-04-05 崇明区 79 2 77
2022-04-06 浦东新区 8457 151 8306
2022-04-06 黄浦区 1044 9 1035
2022-04-06 静安区 545 27 518
2022-04-06 徐汇区 1107 19 1088
2022-04-06 长宁区 350 31 319
2022-04-06 普陀区 1033 27 1006
2022-04-06 虹口区 668 1 667
2022-04-06 杨浦区 630 12 618
2022-04-06 宝山区 660 9 651
2022-04-06 闵行区 2409 21 2388
2022-04-06 嘉定区 1408 6 1402
2022-04-06 金山区 79 3 76
2022-04-06 松江区 781 2 779
2022-04-06 青浦区 470 4 466
2022-04-06 奉贤区 278 0 278
2022-04-06 崇明区 63 0 63
2022-04-07 浦东新区 9050 307 8743
2022-04-07 黄浦区 1380 14 1366
2022-04-07 静安区 381 22 359
2022-04-07 徐汇区 2076 43 2033
2022-04-07 长宁区 852 29 823
2022-04-07 普陀区 957 11 946
2022-04-07 虹口区 594 26 568
2022-04-07 杨浦区 601 29 572
2022-04-07 宝山区 414 9 405
2022-04-07 闵行区 2257 95 2162
2022-04-07 嘉定区 933 23 910
2022-04-07 金山区 129 72 57
2022-04-07 松江区 751 107 644
2022-04-07 青浦区 493 4 489
2022-04-07 奉贤区 92 31 61
2022-04-07 崇明区 262 2 260
2022-04-08 浦东新区 7286 348 6938
2022-04-08 黄浦区 2607 41 2566
2022-04-08 静安区 665 42 623
2022-04-08 徐汇区 1629 114 1515
2022-04-08 长宁区 614 20 594
2022-04-08 普陀区 1094 21 1073
2022-04-08 虹口区 378 18 360
2022-04-08 杨浦区 701 12 689
2022-04-08 宝山区 2821 29 2792
2022-04-08 闵行区 2854 62 2792
2022-04-08 嘉定区 1505 116 1389
2022-04-08 金山区 90 45 45
2022-04-08 松江区 771 108 663
2022-04-08 青浦区 342 24 318
2022-04-08 奉贤区 97 12 85
2022-04-08 崇明区 170 3 167
2022-04-09 浦东新区 11130 517 10613
2022-04-09 黄浦区 548 101 447
2022-04-09 静安区 602 25 577
2022-04-09 徐汇区 1150 44 1106
2022-04-09 长宁区 757 26 731
2022-04-09 普陀区 653 24 629
2022-04-09 虹口区 349 12 337
2022-04-09 杨浦区 1080 32 1048
2022-04-09 宝山区 2261 36 2225
2022-04-09 闵行区 4624 88 4536
2022-04-09 嘉定区 369 21 348
2022-04-09 金山区 68 44 24
2022-04-09 松江区 500 10 490
2022-04-09 青浦区 557 9 548
2022-04-09 奉贤区 124 13 111
2022-04-09 崇明区 171 4 167
2022-04-10 浦东新区 6732 212 6520
2022-04-10 黄浦区 1761 36 1725
2022-04-10 静安区 603 29 574
2022-04-10 徐汇区 3203 46 3157
2022-04-10 长宁区 387 5 382
2022-04-10 普陀区 1001 7 994
2022-04-10 虹口区 1238 6 1232
2022-04-10 杨浦区 1877 61 1816
2022-04-10 宝山区 1839 21 1818
2022-04-10 闵行区 3189 102 3087
2022-04-10 嘉定区 1405 71 1334
2022-04-10 金山区 57 15 42
2022-04-10 松江区 1825 291 1534
2022-04-10 青浦区 877 1 876
2022-04-10 奉贤区 38 11 27
2022-04-10 崇明区 55 0 55
2022-04-11 浦东新区 8306 493 7813
2022-04-11 黄浦区 2223 117 2106
2022-04-11 静安区 552 20 532
2022-04-11 徐汇区 1771 48 1723
2022-04-11 长宁区 393 25 368
2022-04-11 普陀区 1878 37 1841
2022-04-11 虹口区 1375 25 1350
2022-04-11 杨浦区 1420 30 1390
2022-04-11 宝山区 1024 47 977
2022-04-11 闵行区 3007 68 2939
2022-04-11 嘉定区 208 43 165
2022-04-11 金山区 38 3 35
2022-04-11 松江区 691 21 670
2022-04-11 青浦区 331 7 324
2022-04-11 奉贤区 68 4 64
2022-04-11 崇明区 57 6 51
2022-04-12 浦东新区 11049 192 10857
2022-04-12 黄浦区 1804 74 1730
2022-04-12 静安区 1056 75 981
2022-04-12 徐汇区 1108 56 1052
2022-04-12 长宁区 1133 90 1043
2022-04-12 普陀区 1170 50 1120
2022-04-12 虹口区 931 83 848
2022-04-12 杨浦区 1159 60 1099
2022-04-12 宝山区 295 16 279
2022-04-12 闵行区 4245 280 3965
2022-04-12 嘉定区 986 42 944
2022-04-12 金山区 39 3 36
2022-04-12 松江区 712 77 635
2022-04-12 青浦区 524 61 463
2022-04-12 奉贤区 33 1 32
2022-04-12 崇明区 86 29 57
2022-04-13 浦东新区 15027 1139 13888
2022-04-13 黄浦区 1408 227 1181
2022-04-13 静安区 220 49 171
2022-04-13 徐汇区 1492 143 1349
2022-04-13 长宁区 957 105 852
2022-04-13 普陀区 475 45 430
2022-04-13 虹口区 1488 121 1367
2022-04-13 杨浦区 1185 54 1131
2022-04-13 宝山区 651 13 638
2022-04-13 闵行区 2939 372 2567
2022-04-13 嘉定区 721 54 667
2022-04-13 金山区 34 12 22
2022-04-13 松江区 657 131 526
2022-04-13 青浦区 319 99 220
2022-04-13 奉贤区 83 2 81
